id,name,position,representation,function,type,age,kind
vs,Vorstand der VfB Stuttgart 1893 AG,na,na,na,1,na,1
ar,Aufsichtsrat der VfB Stuttgart 1893 AG,na,na,na,1,na,1
th,Thomas Hitzlsperger,Vorstandsvorsitzender,"Sport, Unternehmensstrategie und Kommunikation",v,0,38,na
tk,Tobias Keller,Interimsvorstand,Finanzen und Verwaltung,v,0,30,na
os,Oliver Schraft,Mitglied der Geschäftsleitung,Kommunikation,v,0,53,na
cv,Claus Vogt,Vorsitzender des Aufsichtsrats,na,ar,0,51,na
wp,Wilfried Porth,Stellvertretender Vorsitzender des Aufsichtsrats,na,ar,0,62,na
ra,Rainer Adrion,Mitglied,na,ar,0,67,na
hj,Hartmut Jenner,Mitglied,na,ar,0,55,na
fr,Franz Reiner,Mitglied,na,ar,0,53,na
bs,Dr. Bertram Sugg,Mitglied,na,ar,0,55,na
vfb,VfB Stuttgart 1893 e. V.,na,na,na,1,na,0
playfair,FC PlayFair! Verein für Integrität im Profifußball e.V.,na,na,na,1,na,0
intesia,Intesia Group Holding GmbH,na,na,na,1,na,1
daimlera,Daimler AG,na,na,na,1,na,1
sudwest,Südwestmetall,na,na,na,1,na,3
fanclub,VfB Fanclub Courage Gerlingen,na,na,na,1,na,na
ihk,IHK region Stuttgart,na,na,na,1,na,3
akf,Alfred-Kärcher-Förderstiftung.,na,na,na,1,na,2
hmss,Hanns Martin Schleyer-Stiftung,na,na,na,1,na,2
daimlerM,Daimler Mobility AG.,na,na,na,1,na,1
ak,Alfred Kärcher SE & Co. KG,na,na,na,1,na,1
hilft,11hilft e. V.,na,na,na,1,na,0
daffk,Deutsche Akademie für Fußball-Kultur,na,na,na,1,na,na
dfb,Deutscher Fußball-Bund,na,na,na,1,na,3